EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,LiveBallTurnoverPct,DefFTReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,DeadBallTurnovers,Minutes,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PlusMinus,PenaltyDefPoss,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,Fg2aBlocked,AtRimAssists,LongMidRangeAssists,DefTwoPtRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassTurnovers,Travels,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefTwoPtReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,SecondChanceFtPoints,3SecondViolations,PenaltyAtRimFGM,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,OffThreePtRebounds,ShootingFouls,OffThreePtReboundPct,OffArc3ReboundPct,LostBallOutOfBoundsTurnovers,FTOffRebounds,Loose Ball Fouls,OffFTReboundPct,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,StepOutOfBoundsTurnovers,Corner3FGA,OffCorner3ReboundPct,Corner3Frequency,Charge Fouls,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PtsUnassisted3s,Corner3Assists,Charge Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,Defensive 3 Seconds Violations,AtRimPctBlocked,OffLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGA,ThreePtShootingFoulsDrawn,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
1628280-1629492-1629567-201886-202662,1611661323,"Brionna Jones, Beatrice Mompremier, Natisha Hiedeman, DeWanna Bonner, Jasmine Thomas","Jones, Mompremier, Hiedeman, Bonner, Thomas",1628280-1629492-1629567-201886-202662,CON,11.0,1,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,261.8181818181818,8.0,3.0,8.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1628280-1629492-1630097-201886-201896,1611661323,"Brionna Jones, Beatrice Mompremier, Kaila Charles, DeWanna Bonner, Briann January","Jones, Mompremier, Charles, Bonner, January",1628280-1629492-1630097-201886-201896,CON,25.0,1,1.0,,1.0,1,,,,,,1.0,1.0,1.0,,,57.599999999999994,25.0,,25.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1628280-1629492-1630097-201886-202662,1611661323,"Brionna Jones, Beatrice Mompremier, Kaila Charles, DeWanna Bonner, Jasmine Thomas","Jones, Mompremier, Charles, Bonner, Thomas",1628280-1629492-1630097-201886-202662,CON,85.0,1,2.0,3.0,,5,,1.0,2.0,,,,,,,,84.70588235294117,14.5,18.666666666666668,14.5,18.666666666666668,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,0.5547666666666666,0.7471,0.5,4.166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1628280-1629492-201886-201896-202662,1611661323,"Brionna Jones, Beatrice Mompremier, DeWanna Bonner, Briann January, Jasmine Thomas","Jones, Mompremier, Bonner, January, Thomas",1628280-1629492-201886-201896-202662,CON,957.0,3,33.0,32.0,10.0,65,,13.0,18.0,3.0,2.0,5.0,,10.0,0.6,,97.80564263322884,12.666666666666666,16.84375,11.909090909090908,15.96875,0.30303030303030304,2.0,16.0,3.0,4.0,8.0,,1.0,4.0,11.0,14.0,30.0,34.0,31.0,2.0,5.0,4.0,24.0,4.0,,12.0,12.0,3.0,24.0,5.0,2.0,5.0,30.0,0.8571428571428571,0.8571428571428571,0.4666666666666667,0.4,0.45161290322580644,0.4,0.5151515151515151,0.4,0.3125,0.4,0.6842105263157895,0.3125,0.5714285714285714,0.25,0.25806451612903225,0.5,0.5,0.3548387096774194,0.36363636363636365,0.4,0.75,0.2,,0.2903225806451613,0.4185233333333333,0.47938000000000003,0.11764705882352941,10.18,3.0,12.0,2.0,6.0,11.0,1.0,1.0,1.0,6.0,4.0,13.0,1.0,1.0,9.0,1.0,2.0,3.0,6.0,11.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,7.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,9.0,1.0,1.0,0.3076923076923077,0.2857142857142857,0.3,0.03225806451612903,0.06666666666666667,0.09090909090909091,0.09090909090909091,0.7857142857142857,0.25,0.7142857142857143,1.0,0.8,1.0,0.14285714285714285,0.6666666666666666,0.75,0.3548387096774194,0.5454545454545454,0.6,1.0,0.03225806451612903,0.14285714285714285,0.07142857142857142,0.4219461538461538,0.125,0.12903225806451613,0.2647058823529412,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1628280-1629567-1630097-201886-201896,1611661323,"Brionna Jones, Natisha Hiedeman, Kaila Charles, DeWanna Bonner, Briann January","Jones, Hiedeman, Charles, Bonner, January",1628280-1629567-1630097-201886-201896,CON,155.0,1,5.0,5.0,,10,,1.0,2.0,,,,,,,,92.9032258064516,15.2,15.8,15.2,15.8,,,3.0,1.0,,,,,2.0,3.0,2.0,5.0,6.0,7.0,,,2.0,4.0,,,2.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,0.4,,0.4,,0.5,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,1.0,,,,0.6,0.6666666666666666,1.0,1.0,,,,0.40801999999999994,,0.3333333333333333,11.1,-1.0,,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,2.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,0.2,0.3333333333333333,,,,,,,,,,,0.4,,,,,,,,0.16666666666666666,0.16666666666666666,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1628280-1629567-1630097-201886-203826,1611661323,"Brionna Jones, Natisha Hiedeman, Kaila Charles, DeWanna Bonner, Alyssa Thomas","Jones, Hiedeman, Charles, Bonner, Thomas",1628280-1629567-1630097-201886-203826,CON,163.0,2,5.0,5.0,3.0,10,,,,,,1.0,1.0,3.0,,,88.34355828220859,13.4,19.2,13.4,19.2,0.6,1.0,3.0,,1.0,1.0,,,,1.0,2.0,4.0,4.0,2.0,,,,2.0,2.0,,1.0,1.0,,2.0,,,,4.0,0.5,0.5,0.5,,0.4,,0.4,,,,,,,,0.2,1.0,1.0,0.2,,,,,,0.4,0.49725,,,11.275,2.0,2.0,,1.0,2.0,1.0,1.0,1.0,,,2.0,1.0,,,1.0,,,1.0,,,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,0.4,0.5,0.5,1.0,0.2,,0.3333333333333333,0.41605,,,,39.9,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1628280-1629567-1630097-201896-203849,1611661323,"Brionna Jones, Natisha Hiedeman, Kaila Charles, Briann January, Theresa Plaisance","Jones, Hiedeman, Charles, January, Plaisance",1628280-1629567-1630097-201896-203849,CON,120.0,1,4.0,3.0,4.0,7,,2.0,3.0,,,,,4.0,,,84.0,18.25,15.666666666666666,16.25,15.666666666666666,1.0,,2.0,1.0,2.0,2.0,,,,2.0,2.0,4.0,5.0,,,,,2.0,2.0,,1.0,1.0,,2.0,1.0,,1.0,5.0,0.5,0.5,0.5,,0.4,,0.5,,0.5,,1.0,0.3333333333333333,0.5,,0.4,1.0,1.0,0.4,,,,,,0.6,0.484,0.6117,,5.4,5.0,,2.0,,,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,,2.0,,1.0,,1.0,,,,,2.0,,1.0,1.0,1.0,,,,,,,,5.0,,,0.5,0.4,0.5,0.2,0.25,0.5,,1.0,,,1.0,1.0,,,,0.5,,,,,0.2,0.4,0.2,0.484,0.2,0.25,1.0,23.9,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1628280-1629567-201502-201896-203826,1611661323,"Brionna Jones, Natisha Hiedeman, Essence Carson, Briann January, Alyssa Thomas","Jones, Hiedeman, Carson, January, Thomas",1628280-1629567-201502-201896-203826,CON,100.0,1,3.0,2.0,,5,,1.0,2.0,,,,,,,,72.0,19.0,21.5,18.333333333333332,15.5,,,2.0,1.0,1.0,3.0,1.0,1.0,,,1.0,3.0,2.0,1.0,1.0,1.0,2.0,,2.0,2.0,,,,,,1.0,1.0,,,,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,,1.0,0.5,0.3333333333333333,,1.0,0.75,0.3333333333333333,0.3333333333333333,,,,,1.0,1.0,1.0,0.48235,,1.0,3.233333333333333,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,0.25,,,,,,,,,,,,,,,,,0.25,,,,,,,24.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1628280-1629567-201502-202662-203826,1611661323,"Brionna Jones, Natisha Hiedeman, Essence Carson, Jasmine Thomas, Alyssa Thomas","Jones, Hiedeman, Carson, Thomas, Thomas",1628280-1629567-201502-202662-203826,CON,20.0,1,,1.0,,1,,,,,,,,,,,72.0,,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1628280-1629567-201886-202662-203826,1611661323,"Brionna Jones, Natisha Hiedeman, DeWanna Bonner, Jasmine Thomas, Alyssa Thomas","Jones, Hiedeman, Bonner, Thomas, Thomas",1628280-1629567-201886-202662-203826,CON,151.0,1,7.0,5.0,4.0,12,,1.0,1.0,2.0,1.0,3.0,3.0,4.0,0.6666666666666666,,114.43708609271523,10.285714285714286,15.8,10.285714285714286,15.8,0.5714285714285714,1.0,3.0,,,,,,2.0,2.0,2.0,2.0,8.0,6.0,,,,2.0,2.0,,1.0,1.0,1.0,2.0,,1.0,,8.0,0.5,0.5,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,1.0,1.0,1.0,0.5,,,,0.36515,,,5.55,2.0,1.0,,,,,,,4.0,,,,1.0,1.0,,,,,,,2.0,,2.0,1.0,,1.0,,3.0,,5.0,1.0,2.0,1.0,,,,,,,1.0,,1.0,,,0.5,,,,,,,,,,1.0,,,,,,,,,,,,0.6666666666666666,0.6666666666666666,0.125,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1628280-1630097-201502-201886-201896,1611661323,"Brionna Jones, Kaila Charles, Essence Carson, DeWanna Bonner, Briann January","Jones, Charles, Carson, Bonner, January",1628280-1630097-201502-201886-201896,CON,87.0,2,2.0,3.0,,5,,2.0,2.0,,,,,,,,82.75862068965517,15.0,19.0,15.0,19.0,,,1.0,,,,,,,,1.0,1.0,2.0,2.0,,,,2.0,,,1.0,1.0,,2.0,,,,2.0,1.0,1.0,1.0,,0.5,,0.5,,,,1.0,,,,,,,,,,,,,0.5,0.4473,,,21.6,,,,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,1.0,,,1.0,1.0,,,,,0.5,1.0,1.0,1.0,0.5,,,,,,,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1628280-1630097-201502-201896-203826,1611661323,"Brionna Jones, Kaila Charles, Essence Carson, Briann January, Alyssa Thomas","Jones, Charles, Carson, January, Thomas",1628280-1630097-201502-201896-203826,CON,102.0,1,3.0,2.0,,5,,1.0,2.0,,,,,,,,70.58823529411765,14.333333333333334,29.5,14.333333333333334,21.5,,,2.0,1.0,,,,,1.0,2.0,1.0,2.0,6.0,3.0,,,2.0,2.0,,,1.0,1.0,1.0,2.0,1.0,,1.0,4.0,1.0,1.0,0.5,,0.5,,0.75,1.0,1.0,,0.3333333333333333,1.0,1.0,,,,,1.0,0.5,0.5,1.0,,,,0.41525,,0.3333333333333333,5.45,3.0,,,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,3.0,,5.0,1.0,3.0,,1.0,,,1.0,1.0,,,,,,,,,,,,0.5,,,,1.0,,,,,,,,,,,,,0.75,0.75,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1628280-1630097-201502-202662-203826,1611661323,"Brionna Jones, Kaila Charles, Essence Carson, Jasmine Thomas, Alyssa Thomas","Jones, Charles, Carson, Thomas, Thomas",1628280-1630097-201502-202662-203826,CON,58.0,1,2.0,2.0,2.0,4,,1.0,1.0,,,,,2.0,,,99.3103448275862,15.5,13.5,15.5,13.5,1.0,,1.0,,,1.0,,,,1.0,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.5,,,0.5,,,,,,0.5,0.4456,,,3.8,-3.0,2.0,1.0,,,,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,1.0,,,1.0,,,,,,,,,,,0.5,,0.4456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
